Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer, 67483, 67483000472381, 25.854902, hardhat
Transfer, 67483, 67483000472381, 16.45997, hardhat
Transfer, 67483, 67483000472381, 14.346981, hardhat
Transfer, 67483, 67483000472381, 18.002828, hardhat
Transfer, 67483, 67483000472381, 18.413317, hardhat
Transfer, 67483, 67483000472381, 16.828558, hardhat
Transfer, 67483, 67483000472381, 11.205606, hardhat
Transfer, 67483, 67483000472381, 13.166844, hardhat
Transfer, 67483, 67483000472381, 13.640883, hardhat
Transfer, 67483, 67483000472381, 12.084616, hardhat
Transfer, 67483, 67483000472381, 13.702407, hardhat
Transfer, 67483, 67483000472381, 17.172493, hardhat
Transfer, 67483, 67483000472381, 14.602436, hardhat
Transfer, 67483, 67483000472381, 14.952867, hardhat
Transfer, 67483, 67483000472381, 16.512625, hardhat
Transfer, 67483, 67483000472381, 19.963508, hardhat
Transfer, 67483, 67483000472381, 20.091653, hardhat
Transfer, 67483, 67483000472381, 18.555011, hardhat
Transfer, 67483, 67483000472381, 16.626386, hardhat
Transfer, 67483, 67483000472381, 14.413394, hardhat
Transfer, 67483, 67483000472381, 15.992497, hardhat
Transfer, 67483, 67483000472381, 15.550652, hardhat
Transfer, 67483, 67483000472381, 17.304132, hardhat
Transfer, 67483, 67483000472381, 19.413699, hardhat
Transfer, 67483, 67483000472381, 16.857609, hardhat
Transfer, 67483, 67483000472381, 17.195818, hardhat
Transfer, 67483, 67483000472381, 12.053958, hardhat
Transfer, 67483, 67483000472381, 10.898334, hardhat
Transfer, 67483, 67483000472381, 15.033805, hardhat
Transfer, 67483, 67483000472381, 12.862156, hardhat
Transfer, 67483, 67483000472381, 10.055779, hardhat
Transfer, 67483, 67483000472381, 9.828397, hardhat
Transfer, 67483, 67483000472381, 12.301034, hardhat
Transfer, 67483, 67483000472381, 13.759811, hardhat
Transfer, 67483, 67483000472381, 14.688682, hardhat
Transfer, 67483, 67483000472381, 17.065786, hardhat
Transfer, 67483, 67483000472381, 13.100362, hardhat
Transfer, 67483, 67483000472381, 16.454173, hardhat
Transfer, 67483, 67483000472381, 13.768121, hardhat
Transfer, 67483, 67483000472381, 14.160802, hardhat
Transfer, 67483, 67483000472381, 15.107272, hardhat
Transfer, 67483, 67483000472381, 16.278469, hardhat
Transfer, 67483, 67483000472381, 15.849824, hardhat
Transfer, 67483, 67483000472381, 16.746991, hardhat
Transfer, 67483, 67483000472381, 16.838055, hardhat
Transfer, 67483, 67483000472381, 18.15395, hardhat
Transfer, 67483, 67483000472381, 14.835964, hardhat
Transfer, 67483, 67483000472381, 15.98244, hardhat
Transfer, 67483, 67483000472381, 16.343975, hardhat
Transfer, 67483, 67483000472381, 19.302312, hardhat
Transfer, 67483, 67483000472381, 18.426026, hardhat
Transfer, 67483, 67483000472381, 17.329062, hardhat
Transfer, 67483, 67483000472381, 16.849229, hardhat
Transfer, 67483, 67483000472381, 18.898388, hardhat
Transfer, 67483, 67483000472381, 17.422292, hardhat
Transfer, 67483, 67483000472381, 16.173508, hardhat
Transfer, 67483, 67483000472381, 18.531826, hardhat
Transfer, 67483, 67483000472381, 18.340828, hardhat
Transfer, 67483, 67483000472381, 20.422322, hardhat
Transfer, 67483, 67483000472381, 16.667798, hardhat
Transfer, 67483, 67483000472381, 17.762876, hardhat
Transfer, 67483, 67483000472381, 17.290863, hardhat
Transfer, 67483, 67483000472381, 18.389293, hardhat
Transfer, 67483, 67483000472381, 19.674182, hardhat
Transfer, 67483, 67483000472381, 18.801388, hardhat
Transfer, 67483, 67483000472381, 18.071964, hardhat
Transfer, 67483, 67483000472381, 18.459547, hardhat
Transfer, 67483, 67483000472381, 17.557283, hardhat
Transfer, 67483, 67483000472381, 18.73707, hardhat
Transfer, 67483, 67483000472381, 15.118026, hardhat
Transfer, 67483, 67483000472381, 17.307414, hardhat
Transfer, 67483, 67483000472381, 18.661718, hardhat
Transfer, 67483, 67483000472381, 18.092706, hardhat
Transfer, 67483, 67483000472381, 17.663641, hardhat
Transfer, 67483, 67483000472381, 18.234889, hardhat
Transfer, 67483, 67483000472381, 17.060688, hardhat
Transfer, 67483, 67483000472381, 18.972134, hardhat
Transfer, 67483, 67483000472381, 17.731451, hardhat
Transfer, 67483, 67483000472381, 16.948393, hardhat
Transfer, 67483, 67483000472381, 17.607773, hardhat
Transfer, 67483, 67483000472381, 17.943678, hardhat
Transfer, 67483, 67483000472381, 17.389679, hardhat
Transfer, 67483, 67483000472381, 17.305389, hardhat
Transfer, 67483, 67483000472381, 18.090889, hardhat
Transfer, 67483, 67483000472381, 16.920251, hardhat
Transfer, 67483, 67483000472381, 17.692273, hardhat
Transfer, 67483, 67483000472381, 18.339501, hardhat
Transfer, 67483, 67483000472381, 18.054854, hardhat
Transfer, 67483, 67483000472381, 17.77789, hardhat
Transfer, 67483, 67483000472381, 18.428401, hardhat
Transfer, 67483, 67483000472381, 17.25392, hardhat
Transfer, 67483, 67483000472381, 17.694856, hardhat
Transfer, 67483, 67483000472381, 17.099028, hardhat
Transfer, 67483, 67483000472381, 12.746509, hardhat
Transfer, 67483, 67483000472381, 13.556872, hardhat
Transfer, 67483, 67483000472381, 17.128288, hardhat
Transfer, 67483, 67483000472381, 14.14488, hardhat
Transfer, 67483, 67483000472381, 12.726537, hardhat
Transfer, 67483, 67483000472381, 13.905068, hardhat
Transfer, 67483, 67483000472381, 13.513434, hardhat
TransferByPartition, 62026, 62026000434182, 20.337262, hardhat
TransferByPartition, 62026, 62026000434182, 14.015475, hardhat
TransferByPartition, 62026, 62026000434182, 17.035059, hardhat
TransferByPartition, 62026, 62026000434182, 14.338881, hardhat
TransferByPartition, 62026, 62026000434182, 15.963445, hardhat
TransferByPartition, 62026, 62026000434182, 15.050566, hardhat
TransferByPartition, 62026, 62026000434182, 14.914668, hardhat
TransferByPartition, 62026, 62026000434182, 15.866654, hardhat
TransferByPartition, 62026, 62026000434182, 16.262268, hardhat
TransferByPartition, 62026, 62026000434182, 17.019067, hardhat
TransferByPartition, 62026, 62026000434182, 15.153852, hardhat
TransferByPartition, 62026, 62026000434182, 15.100289, hardhat
TransferByPartition, 62026, 62026000434182, 15.215097, hardhat
TransferByPartition, 62026, 62026000434182, 15.664204, hardhat
TransferByPartition, 62026, 62026000434182, 15.993264, hardhat
TransferByPartition, 62026, 62026000434182, 17.062085, hardhat
TransferByPartition, 62026, 62026000434182, 20.575399, hardhat
TransferByPartition, 62026, 62026000434182, 20.784275, hardhat
TransferByPartition, 62026, 62026000434182, 20.909977, hardhat
TransferByPartition, 62026, 62026000434182, 22.091929, hardhat
TransferByPartition, 62026, 62026000434182, 21.234079, hardhat
TransferByPartition, 62026, 62026000434182, 22.7379, hardhat
TransferByPartition, 62026, 62026000434182, 21.072133, hardhat
TransferByPartition, 62026, 62026000434182, 21.051741, hardhat
TransferByPartition, 62026, 62026000434182, 22.347594, hardhat
TransferByPartition, 62026, 62026000434182, 25.751548, hardhat
TransferByPartition, 62026, 62026000434182, 20.218753, hardhat
TransferByPartition, 62026, 62026000434182, 20.197314, hardhat
TransferByPartition, 62026, 62026000434182, 20.26638, hardhat
TransferByPartition, 62026, 62026000434182, 19.533185, hardhat
TransferByPartition, 62026, 62026000434182, 22.961092, hardhat
TransferByPartition, 62026, 62026000434182, 18.295226, hardhat
TransferByPartition, 62026, 62026000434182, 17.272916, hardhat
TransferByPartition, 62026, 62026000434182, 17.587661, hardhat
TransferByPartition, 62026, 62026000434182, 17.655889, hardhat
TransferByPartition, 62026, 62026000434182, 17.952617, hardhat
TransferByPartition, 62026, 62026000434182, 17.852125, hardhat
TransferByPartition, 62026, 62026000434182, 17.974964, hardhat
TransferByPartition, 62026, 62026000434182, 15.36545, hardhat
TransferByPartition, 62026, 62026000434182, 16.811378, hardhat
TransferByPartition, 62026, 62026000434182, 17.566989, hardhat
TransferByPartition, 62026, 62026000434182, 17.280737, hardhat
TransferByPartition, 62026, 62026000434182, 16.682812, hardhat
TransferByPartition, 62026, 62026000434182, 18.389153, hardhat
TransferByPartition, 62026, 62026000434182, 17.306087, hardhat
TransferByPartition, 62026, 62026000434182, 17.570132, hardhat
TransferByPartition, 62026, 62026000434182, 17.033662, hardhat
TransferByPartition, 62026, 62026000434182, 17.8332, hardhat
TransferByPartition, 62026, 62026000434182, 14.772693, hardhat
TransferByPartition, 62026, 62026000434182, 15.949548, hardhat
TransferByPartition, 62026, 62026000434182, 17.889486, hardhat
TransferByPartition, 62026, 62026000434182, 17.799679, hardhat
TransferByPartition, 62026, 62026000434182, 13.759602, hardhat
TransferByPartition, 62026, 62026000434182, 14.1446, hardhat
TransferByPartition, 62026, 62026000434182, 17.060409, hardhat
TransferByPartition, 62026, 62026000434182, 17.756591, hardhat
TransferByPartition, 62026, 62026000434182, 17.440658, hardhat
TransferByPartition, 62026, 62026000434182, 18.136701, hardhat
TransferByPartition, 62026, 62026000434182, 17.770768, hardhat
TransferByPartition, 62026, 62026000434182, 16.529315, hardhat
TransferByPartition, 62026, 62026000434182, 16.821085, hardhat
TransferByPartition, 62026, 62026000434182, 14.611585, hardhat
TransferByPartition, 62026, 62026000434182, 18.267013, hardhat
TransferByPartition, 62026, 62026000434182, 17.944586, hardhat
TransferByPartition, 62026, 62026000434182, 19.278289, hardhat
TransferByPartition, 62026, 62026000434182, 18.475399, hardhat
TransferByPartition, 62026, 62026000434182, 19.73396, hardhat
TransferByPartition, 62026, 62026000434182, 19.297004, hardhat
TransferByPartition, 62026, 62026000434182, 20.214213, hardhat
