Operation, Gas, Fee (weis), Latency (ms), Blockchain
TransferByPartition, 46865, 46865000328055, 26.834474, hardhat
TransferByPartition, 46865, 46865000328055, 12.624159, hardhat
TransferByPartition, 46865, 46865000328055, 10.639597, hardhat
TransferByPartition, 46865, 46865000328055, 12.039294, hardhat
TransferByPartition, 46865, 46865000328055, 13.159931, hardhat
TransferByPartition, 46865, 46865000328055, 10.987792, hardhat
TransferByPartition, 46865, 46865000328055, 11.858282, hardhat
TransferByPartition, 46865, 46865000328055, 12.771021, hardhat
TransferByPartition, 46865, 46865000328055, 12.138389, hardhat
TransferByPartition, 46865, 46865000328055, 11.376003, hardhat
TransferByPartition, 46865, 46865000328055, 11.435642, hardhat
TransferByPartition, 46865, 46865000328055, 12.37017, hardhat
TransferByPartition, 46865, 46865000328055, 11.049177, hardhat
TransferByPartition, 46865, 46865000328055, 15.920566, hardhat
TransferByPartition, 46865, 46865000328055, 11.338572, hardhat
TransferByPartition, 46865, 46865000328055, 10.767115, hardhat
TransferByPartition, 46865, 46865000328055, 11.307287, hardhat
TransferByPartition, 46865, 46865000328055, 13.674822, hardhat
TransferByPartition, 46865, 46865000328055, 12.461375, hardhat
TransferByPartition, 46865, 46865000328055, 17.04714, hardhat
TransferByPartition, 46865, 46865000328055, 12.744345, hardhat
TransferByPartition, 46865, 46865000328055, 12.23937, hardhat
TransferByPartition, 46865, 46865000328055, 14.980521, hardhat
TransferByPartition, 46865, 46865000328055, 12.069182, hardhat
TransferByPartition, 46865, 46865000328055, 13.366083, hardhat
TransferByPartition, 46865, 46865000328055, 13.206092, hardhat
TransferByPartition, 46865, 46865000328055, 15.790953, hardhat
TransferByPartition, 46865, 46865000328055, 17.729984, hardhat
TransferByPartition, 46865, 46865000328055, 16.527709, hardhat
TransferByPartition, 46865, 46865000328055, 16.493281, hardhat
TransferByPartition, 46865, 46865000328055, 17.233739, hardhat
TransferByPartition, 46865, 46865000328055, 16.672687, hardhat
TransferByPartition, 46865, 46865000328055, 16.45564, hardhat
TransferByPartition, 46865, 46865000328055, 16.895808, hardhat
TransferByPartition, 46865, 46865000328055, 16.60809, hardhat
TransferByPartition, 46865, 46865000328055, 20.474837, hardhat
TransferByPartition, 46865, 46865000328055, 17.192257, hardhat
TransferByPartition, 46865, 46865000328055, 16.898812, hardhat
TransferByPartition, 46865, 46865000328055, 16.532319, hardhat
TransferByPartition, 46865, 46865000328055, 16.621707, hardhat
TransferByPartition, 46865, 46865000328055, 16.724364, hardhat
TransferByPartition, 46865, 46865000328055, 17.540592, hardhat
TransferByPartition, 46865, 46865000328055, 14.842179, hardhat
TransferByPartition, 46865, 46865000328055, 15.428232, hardhat
TransferByPartition, 46865, 46865000328055, 16.278958, hardhat
TransferByPartition, 46865, 46865000328055, 15.708479, hardhat
TransferByPartition, 46865, 46865000328055, 14.747413, hardhat
TransferByPartition, 46865, 46865000328055, 16.068965, hardhat
TransferByPartition, 46865, 46865000328055, 20.129783, hardhat
TransferByPartition, 46865, 46865000328055, 15.567203, hardhat
TransferByPartition, 46865, 46865000328055, 14.162338, hardhat
TransferByPartition, 46865, 46865000328055, 14.621012, hardhat
TransferByPartition, 46865, 46865000328055, 16.64196, hardhat
TransferByPartition, 46865, 46865000328055, 16.700969, hardhat
TransferByPartition, 46865, 46865000328055, 16.4599, hardhat
TransferByPartition, 46865, 46865000328055, 16.639375, hardhat
TransferByPartition, 46865, 46865000328055, 15.457562, hardhat
TransferByPartition, 46865, 46865000328055, 13.79836, hardhat
TransferByPartition, 46865, 46865000328055, 13.157487, hardhat
TransferByPartition, 46865, 46865000328055, 13.542207, hardhat
TransferByPartition, 46865, 46865000328055, 12.257038, hardhat
TransferByPartition, 46865, 46865000328055, 13.693328, hardhat
TransferByPartition, 46865, 46865000328055, 11.653037, hardhat
TransferByPartition, 46865, 46865000328055, 13.304768, hardhat
TransferByPartition, 46865, 46865000328055, 15.83474, hardhat
TransferByPartition, 46865, 46865000328055, 15.80087, hardhat
TransferByPartition, 46865, 46865000328055, 14.282384, hardhat
TransferByPartition, 46865, 46865000328055, 13.682853, hardhat
TransferByPartition, 46865, 46865000328055, 11.905979, hardhat
TransferByPartition, 46865, 46865000328055, 11.316365, hardhat
TransferByPartition, 46865, 46865000328055, 13.323694, hardhat
TransferByPartition, 46865, 46865000328055, 12.158222, hardhat
TransferByPartition, 46865, 46865000328055, 12.00703, hardhat
TransferByPartition, 46865, 46865000328055, 13.799337, hardhat
TransferByPartition, 46865, 46865000328055, 14.070366, hardhat
TransferByPartition, 46865, 46865000328055, 15.3401, hardhat
TransferByPartition, 46865, 46865000328055, 15.958556, hardhat
TransferByPartition, 46865, 46865000328055, 14.122183, hardhat
TransferByPartition, 46865, 46865000328055, 15.456445, hardhat
TransferByPartition, 46865, 46865000328055, 17.063202, hardhat
TransferByPartition, 46865, 46865000328055, 15.853036, hardhat
TransferByPartition, 46865, 46865000328055, 15.667206, hardhat
TransferByPartition, 46865, 46865000328055, 15.377671, hardhat
TransferByPartition, 46865, 46865000328055, 16.387063, hardhat
TransferByPartition, 46865, 46865000328055, 15.11663, hardhat
TransferByPartition, 46865, 46865000328055, 15.503793, hardhat
TransferByPartition, 46865, 46865000328055, 15.300504, hardhat
TransferByPartition, 46865, 46865000328055, 14.465909, hardhat
TransferByPartition, 46865, 46865000328055, 16.112542, hardhat
TransferByPartition, 46865, 46865000328055, 16.615352, hardhat
TransferByPartition, 46865, 46865000328055, 15.325784, hardhat
TransferByPartition, 46865, 46865000328055, 15.478303, hardhat
TransferByPartition, 46865, 46865000328055, 17.730333, hardhat
TransferByPartition, 46865, 46865000328055, 15.655683, hardhat
TransferByPartition, 46865, 46865000328055, 16.324072, hardhat
TransferByPartition, 46865, 46865000328055, 15.472996, hardhat
TransferByPartition, 46865, 46865000328055, 16.011491, hardhat
TransferByPartition, 46865, 46865000328055, 15.67412, hardhat
TransferByPartition, 46865, 46865000328055, 14.840294, hardhat
TransferByPartition, 46865, 46865000328055, 14.83324, hardhat
TransferByPartition, 46865, 33276399520, 88325.503645, sepolia
TransferByPartition, 46865, 46937359560, 23638.468676, sepolia
TransferByPartition, 46865, 50555009505, 12300.545969, sepolia
TransferByPartition, 46865, 55395882815, 59092.344946, sepolia
TransferByPartition, 46865, 53703259610, 25406.394093, sepolia
TransferByPartition, 46865, 56890126475, 10831.355009, sepolia
TransferByPartition, 46865, 103258919855, 11863.106024, sepolia
