Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer, 67461, 67461000472227, 26.464079, hardhat
Transfer, 67461, 67461000472227, 12.624907, hardhat
Transfer, 67461, 67461000472227, 18.113432, hardhat
Transfer, 67461, 67461000472227, 18.909676, hardhat
Transfer, 67461, 67461000472227, 17.972673, hardhat
Transfer, 67461, 67461000472227, 15.740201, hardhat
Transfer, 67461, 67461000472227, 12.602634, hardhat
Transfer, 67461, 67461000472227, 21.095926, hardhat
Transfer, 67461, 67461000472227, 12.148585, hardhat
Transfer, 67461, 67461000472227, 11.208021, hardhat
Transfer, 67461, 67461000472227, 10.725833, hardhat
Transfer, 67461, 67461000472227, 12.29528, hardhat
Transfer, 67461, 67461000472227, 10.826097, hardhat
Transfer, 67461, 67461000472227, 11.400309, hardhat
Transfer, 67461, 67461000472227, 11.116136, hardhat
Transfer, 67461, 67461000472227, 15.21242, hardhat
Transfer, 67461, 67461000472227, 15.113833, hardhat
Transfer, 67461, 67461000472227, 9.934477, hardhat
Transfer, 67461, 67461000472227, 9.936013, hardhat
Transfer, 67461, 67461000472227, 12.48282, hardhat
Transfer, 67461, 67461000472227, 11.147206, hardhat
Transfer, 67461, 67461000472227, 11.180441, hardhat
Transfer, 67461, 67461000472227, 15.648944, hardhat
Transfer, 67461, 67461000472227, 12.458871, hardhat
Transfer, 67461, 67461000472227, 11.863644, hardhat
Transfer, 67461, 67461000472227, 14.949962, hardhat
Transfer, 67461, 67461000472227, 15.991977, hardhat
Transfer, 67461, 67461000472227, 17.864309, hardhat
Transfer, 67461, 67461000472227, 19.400103, hardhat
Transfer, 67461, 67461000472227, 17.838056, hardhat
Transfer, 67461, 67461000472227, 22.384481, hardhat
Transfer, 67461, 67461000472227, 20.444701, hardhat
Transfer, 67461, 67461000472227, 20.382211, hardhat
Transfer, 67461, 67461000472227, 15.988137, hardhat
Transfer, 67461, 67461000472227, 17.527631, hardhat
Transfer, 67461, 67461000472227, 15.089116, hardhat
Transfer, 67461, 67461000472227, 16.989447, hardhat
Transfer, 67461, 67461000472227, 14.498008, hardhat
Transfer, 67461, 67461000472227, 10.397463, hardhat
Transfer, 67461, 67461000472227, 11.793474, hardhat
Transfer, 67461, 67461000472227, 8.751143, hardhat
Transfer, 67461, 67461000472227, 16.206189, hardhat
Transfer, 67461, 67461000472227, 14.425114, hardhat
Transfer, 67461, 67461000472227, 10.898362, hardhat
Transfer, 67461, 67461000472227, 13.627822, hardhat
Transfer, 67461, 67461000472227, 15.54114, hardhat
Transfer, 67461, 67461000472227, 16.777329, hardhat
Transfer, 67461, 67461000472227, 16.775095, hardhat
Transfer, 67461, 67461000472227, 13.416822, hardhat
Transfer, 67461, 67461000472227, 12.37753, hardhat
Transfer, 67461, 67461000472227, 11.99812, hardhat
Transfer, 67461, 67461000472227, 10.136051, hardhat
Transfer, 67461, 67461000472227, 18.711035, hardhat
Transfer, 67461, 67461000472227, 18.199662, hardhat
Transfer, 67461, 67461000472227, 16.846522, hardhat
Transfer, 67461, 67461000472227, 17.329408, hardhat
Transfer, 67461, 67461000472227, 15.263181, hardhat
Transfer, 67461, 67461000472227, 9.820389, hardhat
Transfer, 67461, 67461000472227, 14.097093, hardhat
Transfer, 67461, 67461000472227, 12.138252, hardhat
Transfer, 67461, 67461000472227, 14.542344, hardhat
Transfer, 67461, 67461000472227, 15.092607, hardhat
Transfer, 67461, 67461000472227, 10.080334, hardhat
Transfer, 67461, 67461000472227, 10.466936, hardhat
Transfer, 67461, 67461000472227, 20.19879, hardhat
Transfer, 67461, 67461000472227, 17.74673, hardhat
Transfer, 67461, 67461000472227, 19.248241, hardhat
Transfer, 67461, 67461000472227, 19.651529, hardhat
Transfer, 67461, 67461000472227, 17.306646, hardhat
Transfer, 67461, 67461000472227, 17.014861, hardhat
Transfer, 67461, 67461000472227, 16.737251, hardhat
Transfer, 67461, 67461000472227, 10.17976, hardhat
Transfer, 67461, 67461000472227, 10.433281, hardhat
Transfer, 67461, 67461000472227, 13.765232, hardhat
Transfer, 67461, 67461000472227, 15.274352, hardhat
Transfer, 67461, 67461000472227, 12.301913, hardhat
Transfer, 67461, 67461000472227, 13.663082, hardhat
Transfer, 67461, 67461000472227, 9.922258, hardhat
Transfer, 67461, 67461000472227, 15.560062, hardhat
Transfer, 67461, 67461000472227, 10.898013, hardhat
Transfer, 67461, 67461000472227, 11.572768, hardhat
Transfer, 67461, 67461000472227, 12.872005, hardhat
Transfer, 67461, 67461000472227, 16.766367, hardhat
Transfer, 67461, 67461000472227, 11.03975, hardhat
Transfer, 67461, 67461000472227, 14.109381, hardhat
Transfer, 67461, 67461000472227, 12.655419, hardhat
Transfer, 67461, 67461000472227, 12.329981, hardhat
Transfer, 67461, 67461000472227, 11.44262, hardhat
