Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer, 52289, 52289000366023, 18.97851, hardhat
Transfer, 35189, 35189000246323, 9.044263, hardhat
Transfer, 35189, 35189000246323, 9.137215, hardhat
Transfer, 35189, 35189000246323, 8.335851, hardhat
Transfer, 35189, 35189000246323, 11.1776, hardhat
Transfer, 35189, 35189000246323, 11.854306, hardhat
Transfer, 35189, 35189000246323, 10.981571, hardhat
Transfer, 35189, 35189000246323, 10.346138, hardhat
Transfer, 35189, 35189000246323, 9.981666, hardhat
Transfer, 35189, 35189000246323, 10.270087, hardhat
Transfer, 35189, 35189000246323, 11.253162, hardhat
Transfer, 35189, 35189000246323, 11.415948, hardhat
Transfer, 35189, 35189000246323, 9.732144, hardhat
Transfer, 35189, 35189000246323, 18.981164, hardhat
Transfer, 35189, 35189000246323, 14.356304, hardhat
Transfer, 35189, 35189000246323, 15.513829, hardhat
Transfer, 35189, 35189000246323, 14.630339, hardhat
Transfer, 35189, 35189000246323, 12.240706, hardhat
Transfer, 35189, 35189000246323, 12.74429, hardhat
Transfer, 35189, 35189000246323, 10.777861, hardhat
Transfer, 35189, 35189000246323, 10.378821, hardhat
Transfer, 35189, 35189000246323, 10.798602, hardhat
Transfer, 35189, 35189000246323, 10.299557, hardhat
Transfer, 35189, 35189000246323, 11.369229, hardhat
Transfer, 35189, 35189000246323, 11.082134, hardhat
Transfer, 35189, 35189000246323, 9.527455, hardhat
Transfer, 35189, 35189000246323, 8.525105, hardhat
Transfer, 35189, 35189000246323, 8.861364, hardhat
Transfer, 35189, 35189000246323, 15.156341, hardhat
Transfer, 35189, 35189000246323, 14.563018, hardhat
Transfer, 35189, 35189000246323, 12.090699, hardhat
Transfer, 35189, 35189000246323, 7.832057, hardhat
Transfer, 35189, 35189000246323, 8.345907, hardhat
Transfer, 35189, 35189000246323, 10.643986, hardhat
Transfer, 35189, 35189000246323, 12.605737, hardhat
Transfer, 35189, 35189000246323, 8.975545, hardhat
Transfer, 35189, 35189000246323, 7.996101, hardhat
Transfer, 35189, 35189000246323, 9.442256, hardhat
Transfer, 35189, 35189000246323, 8.10281, hardhat
Transfer, 35189, 35189000246323, 8.802493, hardhat
Transfer, 35189, 35189000246323, 9.062071, hardhat
Transfer, 35189, 35189000246323, 8.332848, hardhat
Transfer, 35189, 35189000246323, 8.299676, hardhat
Transfer, 35189, 35189000246323, 8.899285, hardhat
Transfer, 35189, 35189000246323, 8.306799, hardhat
Transfer, 35189, 35189000246323, 8.93127, hardhat
Transfer, 35189, 35189000246323, 9.711681, hardhat
Transfer, 35189, 35189000246323, 8.870023, hardhat
Transfer, 35189, 35189000246323, 7.733869, hardhat
Transfer, 35189, 35189000246323, 8.455968, hardhat
Transfer, 35189, 35189000246323, 8.303587, hardhat
Transfer, 35189, 35189000246323, 8.864157, hardhat
Transfer, 35189, 35189000246323, 8.888949, hardhat
Transfer, 35189, 35189000246323, 8.228793, hardhat
Transfer, 35189, 35189000246323, 9.741152, hardhat
Transfer, 35189, 35189000246323, 9.133723, hardhat
Transfer, 35189, 35189000246323, 8.802702, hardhat
Transfer, 35189, 35189000246323, 8.992306, hardhat
Transfer, 35189, 35189000246323, 9.030366, hardhat
Transfer, 35189, 35189000246323, 8.908712, hardhat
Transfer, 35189, 35189000246323, 9.48737, hardhat
Transfer, 35189, 35189000246323, 8.711427, hardhat
Transfer, 35189, 35189000246323, 8.713383, hardhat
Transfer, 35189, 35189000246323, 9.667126, hardhat
Transfer, 35189, 35189000246323, 7.855383, hardhat
Transfer, 35189, 35189000246323, 8.809825, hardhat
Transfer, 35189, 35189000246323, 7.9586, hardhat
Transfer, 35189, 35189000246323, 7.462069, hardhat
Transfer, 35189, 35189000246323, 7.85203, hardhat
Transfer, 35189, 35189000246323, 8.8078, hardhat
Transfer, 35189, 35189000246323, 8.302679, hardhat
Transfer, 35189, 35189000246323, 9.340226, hardhat
Transfer, 35189, 35189000246323, 9.449729, hardhat
Transfer, 35189, 35189000246323, 7.180142, hardhat
Transfer, 35189, 35189000246323, 7.892186, hardhat
Transfer, 35189, 35189000246323, 7.593081, hardhat
Transfer, 35189, 35189000246323, 6.858829, hardhat
Transfer, 35189, 35189000246323, 6.596178, hardhat
Transfer, 35189, 35189000246323, 7.222044, hardhat
Transfer, 35189, 35189000246323, 7.370026, hardhat
Transfer, 35189, 35189000246323, 9.621314, hardhat
Transfer, 35189, 35189000246323, 8.000781, hardhat
Transfer, 35189, 35189000246323, 8.22167, hardhat
Transfer, 35189, 35189000246323, 8.243529, hardhat
Transfer, 35189, 35189000246323, 8.730073, hardhat
Transfer, 35189, 35189000246323, 9.333592, hardhat
Transfer, 35189, 35189000246323, 6.360832, hardhat
Transfer, 35189, 35189000246323, 7.178536, hardhat
Transfer, 35189, 35189000246323, 7.232938, hardhat
Transfer, 35189, 35189000246323, 6.14511, hardhat
Transfer, 35189, 35189000246323, 7.452082, hardhat
Transfer, 35189, 35189000246323, 7.63994, hardhat
Transfer, 35189, 35189000246323, 6.570827, hardhat
Transfer, 35189, 35189000246323, 7.968586, hardhat
Transfer, 35189, 35189000246323, 6.480809, hardhat
Transfer, 35189, 35189000246323, 6.079534, hardhat
Transfer, 35189, 35189000246323, 6.956879, hardhat
Transfer, 35189, 35189000246323, 8.512955, hardhat
Transfer, 35189, 35189000246323, 6.993542, hardhat
