Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer,52150,52150000365050,19.614852, hardhat
Transfer,35050,35050000245350,11.657579, hardhat
Transfer,35050,35050000245350,10.38783, hardhat
Transfer,35050,35050000245350,14.930073, hardhat
Transfer,35050,35050000245350,10.966137, hardhat
Transfer,35050,35050000245350,10.800418, hardhat
Transfer,35050,35050000245350,9.256633, hardhat
Transfer,35050,35050000245350,8.923657, hardhat
Transfer,35050,35050000245350,10.739032, hardhat
Transfer,35050,35050000245350,9.600154, hardhat
Transfer,35050,35050000245350,9.680186, hardhat
Transfer,35050,35050000245350,14.781813, hardhat
Transfer,35050,35050000245350,13.405075, hardhat
Transfer,35050,35050000245350,12.236237, hardhat
Transfer,35050,35050000245350,10.209749, hardhat
Transfer,35050,35050000245350,10.157023, hardhat
Transfer,35050,35050000245350,8.822256, hardhat
Transfer,35050,35050000245350,8.520637, hardhat
Transfer,35050,35050000245350,8.913112, hardhat
Transfer,35050,35050000245350,8.635656, hardhat
Transfer,35050,35050000245350,8.456178, hardhat
Transfer,35050,35050000245350,10.561022, hardhat
Transfer,35050,35050000245350,15.218913, hardhat
Transfer,35050,35050000245350,8.443468, hardhat
Transfer,35050,35050000245350,7.962301, hardhat
Transfer,35050,35050000245350,7.837226, hardhat
Transfer,35050,35050000245350,7.98814, hardhat
Transfer,35050,35050000245350,12.500425, hardhat
Transfer,35050,35050000245350,14.108947, hardhat
Transfer,35050,35050000245350,15.294895, hardhat
Transfer,35050,35050000245350,15.505169, hardhat
Transfer,35050,35050000245350,16.710112, hardhat
Transfer,35050,35050000245350,8.20442, hardhat
Transfer,35050,35050000245350,8.020823, hardhat
Transfer,35050,35050000245350,8.107908, hardhat
Transfer,35050,35050000245350,7.782614, hardhat
Transfer,35050,35050000245350,8.182981, hardhat
Transfer,35050,35050000245350,8.91786, hardhat
Transfer,35050,35050000245350,8.151206, hardhat
Transfer,35050,35050000245350,7.239154, hardhat
Transfer,35050,35050000245350,8.191641, hardhat
Transfer,35050,35050000245350,8.29388, hardhat
Transfer,35050,35050000245350,8.920654, hardhat
Transfer,35050,35050000245350,8.023338, hardhat
Transfer,35050,35050000245350,8.144013, hardhat
Transfer,35050,35050000245350,8.435297, hardhat
Transfer,35050,35050000245350,7.483439, hardhat
