Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer, 63170, 63170000442190, 21.652304, hardhat
Transfer, 46070, 46070000322490, 15.583455, hardhat
Transfer, 46070, 46070000322490, 10.703207, hardhat
Transfer, 46070, 46070000322490, 9.261242, hardhat
Transfer, 46070, 46070000322490, 10.053736, hardhat
Transfer, 46070, 46070000322490, 9.661889, hardhat
Transfer, 46070, 46070000322490, 9.758681, hardhat
Transfer, 46070, 46070000322490, 9.403637, hardhat
Transfer, 46070, 46070000322490, 9.617054, hardhat
Transfer, 46070, 46070000322490, 9.551059, hardhat
Transfer, 46070, 46070000322490, 10.150388, hardhat
Transfer, 46070, 46070000322490, 9.646106, hardhat
Transfer, 46070, 46070000322490, 9.532553, hardhat
Transfer, 46070, 46070000322490, 9.053341, hardhat
Transfer, 46070, 46070000322490, 8.589773, hardhat
Transfer, 46070, 46070000322490, 10.746365, hardhat
Transfer, 46070, 46070000322490, 10.239289, hardhat
Transfer, 46070, 46070000322490, 7.926336, hardhat
Transfer, 46070, 46070000322490, 8.376845, hardhat
Transfer, 46070, 46070000322490, 15.04181, hardhat
Transfer, 46070, 46070000322490, 7.259336, hardhat
Transfer, 46070, 46070000322490, 8.04736, hardhat
Transfer, 46070, 46070000322490, 8.736148, hardhat
Transfer, 46070, 46070000322490, 8.87987, hardhat
Transfer, 46070, 46070000322490, 9.268365, hardhat
Transfer, 46070, 46070000322490, 8.675392, hardhat
Transfer, 46070, 46070000322490, 10.20102, hardhat
Transfer, 46070, 46070000322490, 9.563141, hardhat
Transfer, 46070, 46070000322490, 9.213754, hardhat
Transfer, 46070, 46070000322490, 7.593779, hardhat
Transfer, 46070, 46070000322490, 9.405523, hardhat
Transfer, 46070, 46070000322490, 9.10935, hardhat
Transfer, 46070, 46070000322490, 8.571756, hardhat
Transfer, 46070, 46070000322490, 7.781008, hardhat
Transfer, 46070, 46070000322490, 7.693574, hardhat
Transfer, 46070, 46070000322490, 8.755213, hardhat
Transfer, 46070, 46070000322490, 9.530598, hardhat
Transfer, 46070, 46070000322490, 7.311713, hardhat
Transfer, 46070, 46070000322490, 5.93288, hardhat
Transfer, 46070, 46070000322490, 6.917421, hardhat
Transfer, 46070, 46070000322490, 6.692621, hardhat
Transfer, 46070, 46070000322490, 7.269811, hardhat
Transfer, 46070, 46070000322490, 6.4424, hardhat
Transfer, 46070, 46070000322490, 6.858689, hardhat
Transfer, 46070, 46070000322490, 6.990329, hardhat
Transfer, 46070, 46070000322490, 7.778564, hardhat
Transfer, 46070, 46070000322490, 8.449264, hardhat
Transfer, 46070, 46070000322490, 10.971236, hardhat
Transfer, 46070, 46070000322490, 8.874004, hardhat
Transfer, 46070, 46070000322490, 8.463022, hardhat
Transfer, 46070, 46070000322490, 7.114008, hardhat
Transfer, 46070, 46070000322490, 7.858456, hardhat
Transfer, 46070, 46070000322490, 8.969888, hardhat
Transfer, 46070, 46070000322490, 8.82917, hardhat
Transfer, 46070, 46070000322490, 8.53593, hardhat
Transfer, 46070, 46070000322490, 9.391067, hardhat
Transfer, 46070, 46070000322490, 8.718201, hardhat
Transfer, 46070, 46070000322490, 9.697714, hardhat
Transfer, 46070, 46070000322490, 8.751791, hardhat
Transfer, 46070, 46070000322490, 9.763778, hardhat
Transfer, 46070, 46070000322490, 9.839551, hardhat
Transfer, 46070, 46070000322490, 9.645757, hardhat
Transfer, 46070, 46070000322490, 8.22195, hardhat
Transfer, 46070, 46070000322490, 8.473008, hardhat
Transfer, 46070, 46070000322490, 9.832217, hardhat
Transfer, 46070, 46070000322490, 9.225557, hardhat
Transfer, 46070, 46070000322490, 8.570987, hardhat
Transfer, 46070, 46070000322490, 8.86737, hardhat
Transfer, 46070, 46070000322490, 7.339089, hardhat
Transfer, 46070, 46070000322490, 8.190454, hardhat
Transfer, 46070, 46070000322490, 8.552132, hardhat
Transfer, 46070, 46070000322490, 8.112237, hardhat
Transfer, 46070, 46070000322490, 8.743412, hardhat
Transfer, 46070, 46070000322490, 7.910972, hardhat
Transfer, 46070, 46070000322490, 9.145664, hardhat
Transfer, 46070, 46070000322490, 8.978059, hardhat
Transfer, 46070, 46070000322490, 9.308102, hardhat
Transfer, 46070, 46070000322490, 9.374864, hardhat
Transfer, 46070, 46070000322490, 9.532554, hardhat
Transfer, 46070, 46070000322490, 9.622362, hardhat
Transfer, 46070, 46070000322490, 9.094684, hardhat
Transfer, 46070, 46070000322490, 8.466933, hardhat
Transfer, 46070, 46070000322490, 11.321671, hardhat
Transfer, 46070, 46070000322490, 8.348352, hardhat
Transfer, 46070, 46070000322490, 6.889487, hardhat
Transfer, 46070, 46070000322490, 7.641057, hardhat
Transfer, 46070, 46070000322490, 8.792157, hardhat
Transfer, 46070, 46070000322490, 8.989442, hardhat
Transfer, 46070, 46070000322490, 8.79893, hardhat
Transfer, 46070, 46070000322490, 7.373447, hardhat
Transfer, 46070, 46070000322490, 11.318319, hardhat
Transfer, 46070, 46070000322490, 13.307933, hardhat
Transfer, 46070, 46070000322490, 13.032153, hardhat
Transfer, 46070, 46070000322490, 11.862198, hardhat
Transfer, 46070, 46070000322490, 14.000352, hardhat
Transfer, 46070, 46070000322490, 11.137864, hardhat
Transfer, 46070, 46070000322490, 10.640704, hardhat
Transfer, 46070, 46070000322490, 9.729071, hardhat
Transfer, 46070, 46070000322490, 13.270153, hardhat
Transfer, 46070, 46070000322490, 12.058715, hardhat
Transfer, 63170, 75805137060, 13151.748817, sepolia
Transfer, 46070, 55284691050, 13303.781622, sepolia
Transfer, 46070, 55284691050, 10253.016538, sepolia
Transfer, 46070, 55284829260, 12045.646317, sepolia
Transfer, 46070, 46761050, 23526.512478, sepolia
Transfer, 46070, 46807120, 25089.237191, sepolia
Transfer, 46070, 46714980, 47899.811982, sepolia
Transfer, 46070, 50677829260, 12013.778293, sepolia
Transfer, 46070, 46761050, 11526.240165, sepolia
Transfer, 46070, 46807120, 12834.727006, sepolia
Transfer, 46070, 46853190, 23523.173491, sepolia
Transfer, 46070, 46853190, 24107.150406, sepolia
Transfer, 46070, 46853190, 23003.017164, sepolia
Transfer, 46070, 46761050, 156362.900363, sepolia
Transfer, 46070, 46761050, 35891.790986, sepolia
Transfer, 46070, 46761050, 83804.207108, sepolia
Transfer, 46070, 46807120, 13442.725747, sepolia
Transfer, 46070, 46807120, 34479.570157, sepolia
Transfer, 46070, 46853190, 12428.338201, sepolia
Transfer, 46070, 46853190, 48995.532757, sepolia
Transfer, 46070, 50677783190, 11441.871738, sepolia
Transfer, 46070, 50677737120, 12080.580354, sepolia
Transfer, 46070, 55284737120, 11005.159297, sepolia
Transfer, 46070, 55284737120, 12231.043363, sepolia
Transfer, 46070, 46853190, 35577.424804, sepolia
Transfer, 46070, 46899260, 25140.759588, sepolia
Transfer, 46070, 46807120, 47425.877716, sepolia
Transfer, 46070, 46807120, 23801.501254, sepolia
Transfer, 46070, 46807120, 36926.716612, sepolia
Transfer, 46070, 46807120, 35109.194901, sepolia
Transfer, 46070, 46761050, 61040.158244, sepolia
Transfer, 46070, 46761050, 59094.006558, sepolia
Transfer, 46070, 46761050, 59571.043671, sepolia
Transfer, 46070, 46761050, 24713.586846, sepolia
Transfer, 46070, 46807120, 24874.104239, sepolia
Transfer, 46070, 46853190, 11076.847373, sepolia
Transfer, 46070, 46853190, 60602.334495, sepolia
