Operation, Gas, Fee (weis), Latency (ms), Blockchain
batchTransfer, 897112, 897112007176896, 157.313462, hardhat
batchTransfer, 897112, 897112007176896, 105.962456, hardhat
batchTransfer, 897112, 897112007176896, 116.422703, hardhat
batchTransfer, 897112, 897112007176896, 106.219589, hardhat
batchTransfer, 897112, 897112007176896, 139.716841, hardhat
batchTransfer, 897112, 897112007176896, 109.027169, hardhat
batchTransfer, 897112, 897112007176896, 126.29764, hardhat
batchTransfer, 897112, 897112007176896, 234.275599, hardhat
batchTransfer, 897112, 897112007176896, 120.270271, hardhat
batchTransfer, 897112, 897112007176896, 98.565315, hardhat
batchTransfer, 897112, 897112007176896, 124.246651, hardhat
batchTransfer, 897112, 897112007176896, 121.856031, hardhat
batchTransfer, 897112, 897112007176896, 125.801676, hardhat
batchTransfer, 897112, 897112007176896, 154.965453, hardhat
batchTransfer, 897112, 897112007176896, 140.447236, hardhat
batchTransfer, 897112, 897112007176896, 152.777828, hardhat
batchTransfer, 897112, 897112007176896, 119.210024, hardhat
batchTransfer, 897112, 897112007176896, 128.701323, hardhat
batchTransfer, 897112, 897112007176896, 150.820654, hardhat
batchTransfer, 897112, 897112007176896, 136.273169, hardhat
batchTransfer, 897112, 897112007176896, 147.05656, hardhat
batchTransfer, 897112, 897112007176896, 128.953497, hardhat
batchTransfer, 897112, 897112007176896, 147.580118, hardhat
batchTransfer, 897112, 897112007176896, 135.310019, hardhat
batchTransfer, 897112, 897112007176896, 156.847395, hardhat
batchTransfer, 897112, 897112007176896, 148.956525, hardhat
batchTransfer, 897112, 897112007176896, 158.189083, hardhat
batchTransfer, 897112, 897112007176896, 125.809359, hardhat
batchTransfer, 897112, 897112007176896, 162.295951, hardhat
batchTransfer, 897112, 897112007176896, 143.438462, hardhat
batchTransfer, 897112, 897112007176896, 102.207583, hardhat
batchTransfer, 897112, 897112007176896, 118.998436, hardhat
batchTransfer, 897112, 897112007176896, 183.790017, hardhat
batchTransfer, 897112, 897112007176896, 151.519125, hardhat
batchTransfer, 897112, 897112007176896, 129.348243, hardhat
batchTransfer, 897112, 897112007176896, 92.837482, hardhat
batchTransfer, 897112, 897112007176896, 171.160379, hardhat
batchTransfer, 897112, 897112007176896, 91.422026, hardhat
batchTransfer, 897112, 897112007176896, 142.560675, hardhat
