Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer,74122,74122000518854,29.835414, hardhat
Transfer,74122,74122000518854,18.687377, hardhat
Transfer,74122,74122000518854,10.83621, hardhat
Transfer,74122,74122000518854,67.722036, hardhat
Transfer,74122,74122000518854,19.242674, hardhat
Transfer,74122,74122000518854,15.673358, hardhat
Transfer,74122,74122000518854,15.057177, hardhat
Transfer,74122,74122000518854,13.189501, hardhat
Transfer,74122,74122000518854,15.47227, hardhat
Transfer,74122,74122000518854,19.940269, hardhat
Transfer,74122,74122000518854,15.896022, hardhat
Transfer,74122,74122000518854,11.934096, hardhat
Transfer,74122,74122000518854,12.930809, hardhat
Transfer,74122,74122000518854,14.484844, hardhat
Transfer,74122,74122000518854,15.882477, hardhat
Transfer,74122,74122000518854,16.673494, hardhat
Transfer,74122,74122000518854,12.627641, hardhat
Transfer,74122,74122000518854,18.177674, hardhat
Transfer,74122,74122000518854,9.549664, hardhat
Transfer,74122,74122000518854,9.220592, hardhat
Transfer,74122,74122000518854,9.515312, hardhat
Transfer,74122,74122000518854,9.066425, hardhat
Transfer,74122,74122000518854,11.0403, hardhat
Transfer,74122,74122000518854,9.776796, hardhat
Transfer,74122,74122000518854,10.356391, hardhat
Transfer,74122,74122000518854,9.52376, hardhat
Transfer,74122,74122000518854,8.334617, hardhat
Transfer,74122,74122000518854,7.978593, hardhat
Transfer,74122,74122000518854,9.595747, hardhat
Transfer,74122,74122000518854,9.357444, hardhat
Transfer,74122,74122000518854,10.231549, hardhat
Transfer,74122,74122000518854,11.11096, hardhat
Transfer,74122,74122000518854,11.019773, hardhat
Transfer,74122,74122000518854,11.400584, hardhat
Transfer,74122,74122000518854,11.05231, hardhat
Transfer,74122,74122000518854,12.351564, hardhat
Transfer,74122,74122000518854,11.46873, hardhat
Transfer,74122,74122000518854,10.285382, hardhat
Transfer,74122,74122000518854,9.924261, hardhat
Transfer,74122,74122000518854,13.058026, hardhat
Transfer,74122,74122000518854,15.634886, hardhat
Transfer,74122,74122000518854,12.273781, hardhat
Transfer,74122,74122000518854,9.921817, hardhat
Transfer,74122,74122000518854,13.68901, hardhat
Transfer,74122,74122000518854,9.756548, hardhat
Transfer,74122,74122000518854,8.938929, hardhat
Transfer,74122,74122000518854,10.139453, hardhat
Transfer,74122,74122000518854,11.736847, hardhat
Transfer,74122,74122000518854,10.565858, hardhat
Transfer,74122,74122000518854,8.727995, hardhat
Transfer,74122,74122000518854,9.964828, hardhat
Transfer,74122,74122000518854,10.478999, hardhat
Transfer,74122,74122000518854,10.221494, hardhat
Transfer,74122,74122000518854,7.902697, hardhat
Transfer,74122,74122000518854,7.319889, hardhat
Transfer,74122,74122000518854,7.617263, hardhat
Transfer,74122,74122000518854,7.890268, hardhat
Transfer,74122,74122000518854,9.586182, hardhat
Transfer,74122,74122000518854,9.018247, hardhat
Transfer,74122,74122000518854,10.302419, hardhat
Transfer,74122,74122000518854,10.194823, hardhat
Transfer,74122,74122000518854,8.788322, hardhat
Transfer,74122,74122000518854,7.563151, hardhat
Transfer,74122,74122000518854,9.499952, hardhat
Transfer,74122,74122000518854,10.238322, hardhat
Transfer,74122,74122000518854,10.821967, hardhat
Transfer,74122,74122000518854,9.089116, hardhat
Transfer,74122,74122000518854,8.917773, hardhat
Transfer,74122,74122000518854,11.544348, hardhat
Transfer,74122,74122000518854,11.427814, hardhat
Transfer,74122,74122000518854,10.605099, hardhat
Transfer,74122,74122000518854,9.675344, hardhat
Transfer,74122,74122000518854,12.43542, hardhat
Transfer,74122,74122000518854,9.475653, hardhat
Transfer,74122,74122000518854,9.020132, hardhat
Transfer,74122,74122000518854,10.385577, hardhat
Transfer,74122,74122000518854,9.42566, hardhat
Transfer,74122,74122000518854,11.041278, hardhat
Transfer,74122,74122000518854,12.650403, hardhat
Transfer,74122,74122000518854,10.260944, hardhat
Transfer,74122,74122000518854,8.783016, hardhat
Transfer,74122,74122000518854,9.895703, hardhat
Transfer,74122,74122000518854,8.175631, hardhat
Transfer,74122,74122000518854,9.871895, hardhat
Transfer,74122,74122000518854,10.487657, hardhat
Transfer,74122,74122000518854,10.473553, hardhat
Transfer,74122,74122000518854,9.155937, hardhat
Transfer,74122,74122000518854,10.019568, hardhat
Transfer,74122,74122000518854,9.448422, hardhat
Transfer,74122,74122000518854,10.646782, hardhat
Transfer,74122,74122000518854,9.179606, hardhat
Transfer,74122,74122000518854,11.4216, hardhat
Transfer,74122,74122000518854,11.021449, hardhat
Transfer,74122,74122000518854,11.129953, hardhat
Transfer,74122,74122000518854,11.837462, hardhat
Transfer,74122,74122000518854,13.105504, hardhat
Transfer,74122,74122000518854,9.437041, hardhat
Transfer,74122,74122000518854,11.670587, hardhat
Transfer,74122,74122000518854,8.373159, hardhat
Transfer,74122,74122000518854,8.715987, hardhat
batchTransfer,635362,635362004447534,158.138481, hardhat
batchTransfer,635362,635362004447534,118.764295, hardhat
batchTransfer,635362,635362004447534,125.923943, hardhat
batchTransfer,635362,635362004447534,126.901874, hardhat
batchTransfer,635362,635362004447534,156.609792, hardhat
batchTransfer,635362,635362004447534,116.755019, hardhat
batchTransfer,635362,635362004447534,86.126912, hardhat
batchTransfer,635362,635362004447534,130.655031, hardhat
batchTransfer,635362,635362004447534,140.861793, hardhat
batchTransfer,635362,635362004447534,107.067735, hardhat
batchTransfer,635362,635362004447534,111.262099, hardhat
batchTransfer,635362,635362004447534,128.358088, hardhat
batchTransfer,635362,635362004447534,84.650171, hardhat
batchTransfer,635362,635362004447534,125.635995, hardhat
batchTransfer,635362,635362004447534,124.448249, hardhat
batchTransfer,635362,635362004447534,127.651695, hardhat
batchTransfer,635362,635362004447534,166.426388, hardhat
batchTransfer,635362,635362004447534,171.037591, hardhat
batchTransfer,635362,635362004447534,126.961153, hardhat
batchTransfer,635362,635362004447534,123.894209, hardhat
batchTransfer,635362,635362004447534,102.442427, hardhat
batchTransfer,635362,635362004447534,90.946117, hardhat
