Operation, Gas, Fee (weis), Latency (ms), Blockchain
Transfer, 83165, 83165000582155, 38.452565, hardhat
Transfer, 66065, 66065000462455, 9.782957, hardhat
Transfer, 66065, 66065000462455, 14.141506, hardhat
Transfer, 66065, 66065000462455, 9.503347, hardhat
Transfer, 66065, 66065000462455, 9.842036, hardhat
Transfer, 66065, 66065000462455, 8.017024, hardhat
Transfer, 66065, 66065000462455, 8.028616, hardhat
Transfer, 66065, 66065000462455, 9.148805, hardhat
Transfer, 66065, 66065000462455, 10.238268, hardhat
Transfer, 66065, 66065000462455, 8.750409, hardhat
Transfer, 66065, 66065000462455, 11.065019, hardhat
Transfer, 66065, 66065000462455, 11.269979, hardhat
Transfer, 66065, 66065000462455, 10.237919, hardhat
Transfer, 66065, 66065000462455, 10.816135, hardhat
Transfer, 66065, 66065000462455, 8.083365, hardhat
Transfer, 66065, 66065000462455, 8.953971, hardhat
Transfer, 66065, 66065000462455, 8.663467, hardhat
Transfer, 66065, 66065000462455, 11.373122, hardhat
Transfer, 66065, 66065000462455, 9.898391, hardhat
Transfer, 66065, 66065000462455, 11.132129, hardhat
Transfer, 66065, 66065000462455, 10.154957, hardhat
Transfer, 66065, 66065000462455, 9.779186, hardhat
Transfer, 66065, 66065000462455, 8.597334, hardhat
Transfer, 66065, 66065000462455, 10.229469, hardhat
Transfer, 66065, 66065000462455, 9.931212, hardhat
Transfer, 66065, 66065000462455, 10.753355, hardhat
Transfer, 66065, 66065000462455, 11.53653, hardhat
Transfer, 66065, 66065000462455, 14.937182, hardhat
Transfer, 66065, 66065000462455, 14.045836, hardhat
Transfer, 66065, 66065000462455, 12.703438, hardhat
Transfer, 66065, 66065000462455, 12.664891, hardhat
Transfer, 66065, 66065000462455, 10.213756, hardhat
Transfer, 66065, 66065000462455, 6.954657, hardhat
Transfer, 66065, 66065000462455, 7.474842, hardhat
Transfer, 66065, 66065000462455, 8.025823, hardhat
Transfer, 66065, 66065000462455, 8.809138, hardhat
Transfer, 66065, 66065000462455, 8.435183, hardhat
Transfer, 66065, 66065000462455, 8.410741, hardhat
Transfer, 66065, 66065000462455, 8.64964, hardhat
Transfer, 66065, 66065000462455, 8.679249, hardhat
Transfer, 66065, 66065000462455, 9.373178, hardhat
Transfer, 66065, 66065000462455, 9.977022, hardhat
Transfer, 66065, 66065000462455, 10.159706, hardhat
Transfer, 66065, 66065000462455, 10.051255, hardhat
Transfer, 66065, 66065000462455, 10.482962, hardhat
Transfer, 66065, 66065000462455, 9.690359, hardhat
Transfer, 66065, 66065000462455, 9.710122, hardhat
Transfer, 66065, 66065000462455, 9.049503, hardhat
Transfer, 66065, 66065000462455, 11.508318, hardhat
Transfer, 66065, 66065000462455, 12.842755, hardhat
Transfer, 66065, 66065000462455, 9.916618, hardhat
Transfer, 66065, 66065000462455, 13.550302, hardhat
Transfer, 66065, 66065000462455, 11.693306, hardhat
Transfer, 66065, 66065000462455, 12.181577, hardhat
Transfer, 66065, 66065000462455, 10.309148, hardhat
Transfer, 66065, 66065000462455, 11.785694, hardhat
Transfer, 66065, 66065000462455, 10.103839, hardhat
Transfer, 66065, 66065000462455, 6.616386, hardhat
Transfer, 66065, 66065000462455, 7.127213, hardhat
Transfer, 66065, 66065000462455, 7.284687, hardhat
Transfer, 66065, 66065000462455, 8.379456, hardhat
Transfer, 66065, 66065000462455, 7.995654, hardhat
Transfer, 66065, 66065000462455, 6.394527, hardhat
Transfer, 66065, 66065000462455, 6.56429, hardhat
Transfer, 66065, 66065000462455, 6.578466, hardhat
Transfer, 66065, 66065000462455, 7.280357, hardhat
Transfer, 66065, 66065000462455, 7.056821, hardhat
Transfer, 66065, 66065000462455, 8.045446, hardhat
Transfer, 66065, 66065000462455, 6.776582, hardhat
Transfer, 66065, 66065000462455, 7.164992, hardhat
Transfer, 66065, 66065000462455, 7.319184, hardhat
Transfer, 66065, 66065000462455, 8.358995, hardhat
Transfer, 66065, 66065000462455, 8.650618, hardhat
Transfer, 66065, 66065000462455, 12.179203, hardhat
Transfer, 66065, 66065000462455, 13.019501, hardhat
Transfer, 66065, 66065000462455, 12.862517, hardhat
Transfer, 66065, 66065000462455, 13.931449, hardhat
Transfer, 66065, 66065000462455, 12.864961, hardhat
Transfer, 66065, 66065000462455, 14.12342, hardhat
Transfer, 66065, 66065000462455, 10.925353, hardhat
Transfer, 66065, 66065000462455, 11.024935, hardhat
Transfer, 66065, 66065000462455, 9.771156, hardhat
Transfer, 66065, 66065000462455, 7.914858, hardhat
Transfer, 66065, 66065000462455, 9.171221, hardhat
Transfer, 66065, 66065000462455, 13.541712, hardhat
Transfer, 66065, 66065000462455, 13.487172, hardhat
Transfer, 66065, 66065000462455, 10.523047, hardhat
Transfer, 66065, 66065000462455, 9.625414, hardhat
Transfer, 66065, 66065000462455, 12.955745, hardhat
Transfer, 66065, 66065000462455, 11.325985, hardhat
Transfer, 66065, 66065000462455, 10.87654, hardhat
Transfer, 66065, 66065000462455, 8.596147, hardhat
Transfer, 66065, 66065000462455, 16.814709, hardhat
Transfer, 66065, 66065000462455, 8.347263, hardhat
Transfer, 66065, 66065000462455, 8.250685, hardhat
Transfer, 66065, 66065000462455, 14.581663, hardhat
Transfer, 66065, 66065000462455, 8.795591, hardhat
Transfer, 66065, 66065000462455, 9.800415, hardhat
Transfer, 66065, 66065000462455, 13.990737, hardhat
Transfer, 66065, 66065000462455, 11.344839, hardhat
batchTransfer, 551012, 551012003857084, 181.826303, hardhat
batchTransfer, 551012, 551012003857084, 137.820697, hardhat
batchTransfer, 551012, 551012003857084, 145.860766, hardhat
batchTransfer, 551012, 551012003857084, 119.924068, hardhat
batchTransfer, 551012, 551012003857084, 99.110658, hardhat
batchTransfer, 551012, 551012003857084, 83.880317, hardhat
batchTransfer, 551012, 551012003857084, 102.563266, hardhat
batchTransfer, 551012, 551012003857084, 76.057569, hardhat
batchTransfer, 551012, 551012003857084, 76.114413, hardhat
batchTransfer, 551012, 551012003857084, 108.469451, hardhat
batchTransfer, 551012, 551012003857084, 85.472717, hardhat
batchTransfer, 551012, 551012003857084, 76.389135, hardhat
batchTransfer, 551012, 551012003857084, 78.00395, hardhat
batchTransfer, 551012, 551012003857084, 89.102001, hardhat
batchTransfer, 551012, 551012003857084, 85.489128, hardhat
batchTransfer, 551012, 551012003857084, 93.000211, hardhat
batchTransfer, 551012, 551012003857084, 81.276669, hardhat
batchTransfer, 551012, 551012003857084, 74.24771, hardhat
batchTransfer, 551012, 551012003857084, 101.949155, hardhat
batchTransfer, 551012, 551012003857084, 91.938822, hardhat
batchTransfer, 551012, 551012003857084, 70.994965, hardhat
batchTransfer, 551012, 551012003857084, 93.764812, hardhat
batchTransfer, 551012, 551012003857084, 90.881412, hardhat
batchTransfer, 551012, 551012003857084, 94.49268, hardhat
batchTransfer, 551012, 551012003857084, 94.61349, hardhat
batchTransfer, 551012, 551012003857084, 91.660258, hardhat
batchTransfer, 551012, 551012003857084, 77.911771, hardhat
batchTransfer, 551012, 551012003857084, 97.031035, hardhat
batchTransfer, 551012, 551012003857084, 82.966484, hardhat
batchTransfer, 551012, 551012003857084, 69.466043, hardhat
batchTransfer, 551012, 551012003857084, 92.593156, hardhat
batchTransfer, 551012, 551012003857084, 85.695693, hardhat
batchTransfer, 551012, 551012003857084, 78.762475, hardhat
batchTransfer, 551012, 551012003857084, 94.767193, hardhat
batchTransfer, 551012, 551012003857084, 84.353016, hardhat
batchTransfer, 551012, 551012003857084, 75.026626, hardhat
batchTransfer, 551012, 551012003857084, 98.390331, hardhat
batchTransfer, 551012, 551012003857084, 86.606313, hardhat
